timestamp_ms,temp_celsius,clock_hz
1776323784533,42.538,700000000
1776323784634,42.538,700000000
1776323784734,42.538,700000000
1776323784834,42.538,700000000
1776323784934,42.538,700000000
1776323785034,42.538,700000000
1776323785134,42.538,700000000
1776323785234,42.538,700000000
1776323785334,42.538,700000000
1776323785434,42.538,700000000
1776323785534,42.538,700000000
1776323785634,42.538,700000000
1776323785734,42.538,700000000
1776323785834,42.538,700000000
1776323785934,42.538,700000000
1776323786034,42.538,700000000
1776323786134,42.538,700000000
1776323786234,42.538,700000000
1776323786334,42.538,700000000
1776323786434,42.538,700000000
1776323786534,42.538,700000000
1776323786634,42.538,700000000
1776323786734,42.538,700000000
1776323786834,42.538,700000000
1776323786934,42.538,700000000
1776323787034,42.538,700000000
1776323787134,41.615,700000000
1776323787234,41.615,700000000
1776323787334,42.538,700000000
1776323787434,42.538,700000000
1776323787534,42.538,700000000
1776323787634,42.538,700000000
1776323787734,42.538,700000000
1776323787834,41.615,700000000
1776323787934,42.538,700000000
1776323788034,42.538,700000000
1776323788134,42.538,700000000
1776323788234,41.615,700000000
1776323788334,42.538,700000000
1776323788434,42.538,700000000
1776323788534,42.538,700000000
1776323788634,42.538,700000000
1776323788734,42.538,700000000
1776323788833,41.615,700000000
1776323788934,41.615,700000000
1776323789034,41.615,700000000
1776323789134,41.615,700000000
1776323789234,42.538,700000000
1776323789334,41.615,700000000
1776323789434,42.538,700000000
1776323789534,42.538,700000000
1776323789634,42.538,700000000
1776323789734,42.538,700000000
1776323789834,42.538,700000000
1776323789934,42.538,700000000
1776323790034,42.538,700000000
1776323790134,42.538,700000000
1776323790234,42.538,700000000
1776323790334,42.538,700000000
1776323790434,42.538,700000000
1776323790534,42.538,700000000
1776323790634,42.538,700000000
1776323790734,42.538,700000000
1776323790834,42.538,700000000
1776323790934,42.538,700000000
1776323791034,42.538,700000000
1776323791134,42.538,700000000
1776323791234,42.538,700000000
1776323791334,42.538,700000000
1776323791434,42.538,700000000
1776323791534,42.538,700000000
1776323791634,42.538,700000000
1776323791734,42.538,700000000
